Symbol	Close	High	Low	Avg3RSI2	Sma200	Sma5	Lbbrange	Lbbslope	Lbbnegslopedur	RSI1	RSI2	RSI3	Lowrsidays	LastUpdated	CD1	CD2	CD3	CD4	CD5	Avggain	Avgloss	Avgvolume	Last4
MM	1236.95	1262.5	1224.45	57.61145708	1.526051983	-0.1584542625	41.68182192	-0.7114320397	0	40.78871427	85.77865955	46.26699742	3	1/14/2015	0.9489109545	-1.281427413	0.4199644645	-0.04848093083	-1.098721562	4.607784515	6.688929778	699753.5789	1236.95/1248.8/1233.0/1238.2/1237.6
NOIDATOLL	34.05	34.7	34	57.6644039	6.111600587	0	72.09469791	-0.004320331196	0	68.44091302	79.48644966	25.06584903	5	1/14/2015	0.146627566	-1.337295691	0.5908419498	-0.2962962963	0.1479289941	0.1231294904	0.05677677465	384040.1053	34.05/34.1/33.65/33.85/33.75
RADICO	85.1	87.9	84.7	57.78234153	-18.08284371	-0.89306698	33.37899246	-0.5279212887	0	32.41337905	82.01222729	58.92141824	11	1/14/2015	2.798400914	-2.099125364	-1.359338061	1.969872538	-2.251184834	0.6565494044	1.369001228	376965.0526	85.1/87.55/85.75/84.6/86.3
PIPAVAVDOC	53.4	56.35	52.7	57.8655092	10.63998127	-2.602996255	30.79568191	-18.70803129	0	33.85816301	46.05209501	93.68626958	13	1/14/2015	1.566820276	4.236540159	0.1762114537	-7.277882798	-18.47704367	0.5434479376	1.06162419	4482444.421	53.4/54.25/56.65/56.75/52.9
GATI	279.9	283.3	271.5	57.87620908	42.1009289	0	82.88111027	-1.059598529	0	75.823454	35.9839792	61.82119403	5	1/14/2015	-2.527472527	1.265822785	-1.356304985	1.658255227	-3.12267658	4.203371059	1.340258039	1612585.947	279.9/273.0/276.5/272.8/277.4
ATLANTA	65.1	68	64.75	57.93951636	8.105222734	-1.751152074	34.64331322	-6.242600806	0	28.34927826	50.29019206	95.17907875	5	1/14/2015	2.3988006	2.840495266	-2.539208364	-4.937304075	-5.541770058	0.5198290871	1.313829894	51309.63158	65.1/66.7/68.65/66.95/63.8
AMARAJABAT	821.95	825.65	812.2	57.94734056	32.26294178	0	67.90640403	-2.907509911	0	74.24993005	50.92757535	48.66451629	3	1/13/2015	-0.6921474948	-0.06742261722	1.121212121	-1.289134438	-3.009991147	4.413464338	1.530600976	252472.55	821.95/816.3/815.75/825.0/814.5
IDBI	73.25	74.9	72.5	58.01682457	-7.04334471	-0.2593856655	45.07910715	-2.27454843	0	36.87944045	54.28932184	82.88171141	4	1/14/2015	0.8795669824	1.269205077	-3.383977901	0.5494505495	-2.752293578	0.3737543779	0.6396947779	3257443.158	73.25/73.9/74.85/72.4/72.8
NIITLTD	48.35	50.85	47.9	58.01817374	4.2114788	-2.006204757	33.62551409	-0.9186511151	0	25.79252042	51.89871297	96.36328784	5	1/14/2015	3.396603397	3.003875969	-6.611570248	-0.4149377593	-1.154249738	0.4358386692	1.253948378	767311.65	48.35/50.05/51.6/48.4/48.2
LLOYDELENG	140	144.7	138.3	58.11287689	13.52696429	-1.65	37.62790331	-7.733792922	0	32.43306989	47.01091273	94.89464805	5	1/14/2015	1.857693656	4.004037685	-3.051317614	-5.951506245	-6.703253626	1.385828076	2.887057841	303167.5789	140.0/142.65/148.6/144.2/136.1
